,category,met,bkg yield,$t\bar{t}$ + jets yield,QCD multijet yield,W$(\rightarrow \ell\nu)$ + jets yield,Z$(\rightarrow \nu\nu)$ + jets yield,Other yield,signal contamination
32,2.02,"[200.0, 300.0)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
33,2.02,"[300.0, 400.0)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
34,2.02,"[400.0, inf)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
35,2.03,"[200.0, inf)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
36,2.04,"[200.0, 300.0)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
37,2.04,"[300.0, 400.0)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
38,2.04,"[400.0, inf)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
39,3.01,"[200.0, 300.0)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
40,3.01,"[300.0, 400.0)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
41,3.01,"[400.0, 600.0)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
42,3.01,"[600.0, inf)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
43,3.02,"[200.0, 300.0)",1652420832.26±22474394.8,42792875.41±689955.9,179650781.66±20469656.4,731934594.76±8054095.4,560193229.82±3561100.7,144687440.62±2881895.3,0.41
44,3.02,"[300.0, 400.0)",451372202.89±7409313.8,9702646.1±329388.2,27757656.13±6375818.7,197838564.66±3157511.9,168429417.33±1411334.8,50099761.61±1507276.3,0.54
45,3.02,"[400.0, 600.0)",150892097.3±2941616.9,2207208.64±152033.3,8375857.76±2442692.3,58705466.36±1115457.5,57563954.56±578133.5,25039805.68±1068336.0,0.66
46,3.02,"[600.0, inf)",21790090.14±576189.9,329160.89±53726.8,1524970.13±304444.5,7144805.75±144645.1,8049191.58±167898.7,4775860.61±433450.3,0.16
47,3.03,"[200.0, 300.0)",2625886698.05±50613609.3,137174186.12±1233089.0,433229362.1±49573644.7,1034296309.6±8657919.7,821767019.86±4055484.7,210958964.71±3397155.8,0.44
48,3.03,"[300.0, 400.0)",718302393.75±8989309.9,33296817.94±610489.1,62932836.37±7873459.3,289826881.77±3512774.5,259617447.54±1665625.7,76106495.05±1835973.9,0.48
49,3.03,"[400.0, 600.0)",243030233.39±3003510.5,7149551.63±272645.8,12312530.73±2291148.3,93587123.35±1262042.2,93501823.99±717677.1,37708391.28±1267488.3,0.5
50,3.03,"[600.0, inf)",36568683.51±743806.8,853139.53±93331.7,2385174.27±329368.3,11660499.35±169273.4,13364327.96±216968.0,8514163.9±602854.4,0.57
51,3.04,"[200.0, 300.0)",1989394940.34±36246978.7,194297227.31±1484265.0,550303500.33±35520444.7,644052327.59±5999554.8,469630248.09±2640401.2,139600172.83±2677698.7,0.42
52,3.04,"[300.0, 400.0)",591925458.55±8495922.1,56984001.4±792293.5,82305943.24±7783419.6,214411141.27±2598056.5,180318047.28±1248712.5,62203966.57±1665225.2,0.72
53,3.04,"[400.0, 600.0)",223527382.33±3422652.9,18439104.24±441870.2,20487670.99±2990734.1,81005596.18±985441.2,72726603.51±599773.3,32440921.7±1121451.2,0.7
54,3.04,"[600.0, inf)",36552749.39±900620.6,2278671.09±148800.4,3730779.84±644512.6,11227686.1±153566.3,11677089.44±204226.1,7992068.08±560281.5,0.96
0,Boosted ttH,,514550412.16±4398526.3,430876926.38±2164032.1,13479240.93±3570556.6,10890396.86±622644.3,7941876.17±238761.5,59628092.03±1215446.9,1.58
0,Resolved ttH,,1218682767.25±14631601.0,684289950.4±2716323.5,142984578.16±13914646.5,139113292.66±2615068.4,125525984.22±1284085.3,141582487.73±2150855.1,1.2
0,Resolved VH,,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
0,Boosted VH,,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
0,Inclusive ggH,,8741663761.9±67968012.7,505504590.31±2373805.1,1384997063.54±65743868.8,3375690996.72±14448643.4,2716838400.96±6614497.0,800128012.63±6348422.2,0.47
0,Combined,,10474896941.31±69664061.9,1620671467.09±4206708.8,1541460882.63±67295041.1,3525694686.24±14696583.5,2850306261.35±6742214.2,1001338592.39±6812191.5,0.61
