dataset,leadFatJet_eta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.8, -3.6)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.6, -3.4)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.4, -3.2)",3,2.1814598767377902e-06,1.5862556494022906e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.2, -3.0)",6,4.3629197534755804e-06,3.1725112988045812e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.0, -2.8)",21,1.381591209792532e-05,1.1103789762656469e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.8, -2.5999999999999996)",40,2.6177518520853482e-05,2.1150076481846192e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.5999999999999996, -2.4)",59,4.1447736293775961e-05,3.1196361466312439e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.4, -2.2)",119,8.2168320659548044e-05,6.2921473586996512e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.2, -2.0)",175,0.00012579752365127206,9.2531579620747095e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.0, -1.7999999999999998)",250,0.00017597110127098858,1.3218796890424045e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-1.7999999999999998, -1.5999999999999996)",412,0.00029376993188634515,2.1784578307926239e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-1.5999999999999996, -1.4)",543,0.00038320978637784719,2.8711227839650633e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-1.4, -1.1999999999999997)",732,0.00052645895630121231,3.8704639493403192e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-1.1999999999999997, -1.0)",914,0.00065298366826027632,4.8327924995206217e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-1.0, -0.7999999999999998)",1134,0.00081732030957937241,5.9960464371400235e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-0.7999999999999998, -0.5999999999999996)",1357,0.00097947544418275356,7.1751632413352695e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-0.5999999999999996, -0.3999999999999999)",1536,0.0010950928553938866,8.1216289249397278e-10
