dataset,ht,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 70.0)",381,0.097254104912281036,2.508779289200902e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[70.0, 140.0)",717,0.1839873194694519,4.7212459321599454e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[140.0, 210.0)",1064,0.27251678705215454,7.0061447331681848e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[210.0, 280.0)",1584,0.40646570920944214,0.00010430200200062245
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[280.0, 350.0)",1902,0.48704034090042114,0.00012524142221082002
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[350.0, 420.0)",2044,0.52399176359176636,0.00013459172623697668
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[420.0, 490.0)",2025,0.51808983087539673,0.00013334062532521784
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[490.0, 560.0)",1839,0.47190052270889282,0.00012109304952900857
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[560.0, 630.0)",1640,0.4208357036113739,0.000107989450043533
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[630.0, 700.0)",1401,0.35848015546798706,9.2251961177680641e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[700.0, 770.0)",1075,0.27533945441246033,7.0785768912173808e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[770.0, 840.0)",740,0.18886284530162811,4.8726946261012927e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[840.0, 910.0)",509,0.13061302900314331,3.3516236726427451e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[910.0, 980.0)",321,0.08237089216709137,2.1136958821443841e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[980.0, 1050.0)",185,0.04747232049703598,1.2181736565253232e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1050.0, 1120.0)",148,0.037977855652570724,9.7453894341015257e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1120.0, 1190.0)",109,0.027970178052783012,7.1773474701330997e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1190.0, 1260.0)",64,0.015909641981124878,4.2142223719565663e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1260.0, 1330.0)",55,0.014113392680883408,3.6215974432707299e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1330.0, 1400.0)",36,0.0092378566041588783,2.3705001694906969e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1400.0, 1470.0)",30,0.0076982141472399235,1.9754168079089141e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1470.0, 1540.0)",24,0.0061585712246596813,1.5803334463271312e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1540.0, 1610.0)",19,0.004875535611063242,1.251097273780033e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1610.0, 1680.0)",11,0.0028226785361766815,7.243194772854622e-07
