dataset,sublFatJet_phi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, -3.2)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.2, -2.986666666666667)",180,0.046189285814762115,1.1852500392706133e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.986666666666667, -2.7733333333333334)",240,0.061072498559951782,1.5803334463271312e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.7733333333333334, -2.56)",296,0.075955711305141449,1.9490778868203051e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.56, -2.3466666666666667)",221,0.056710176169872284,1.4552236279996578e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.3466666666666667, -2.1333333333333337)",233,0.059789463877677917,1.5342402548412792e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.1333333333333337, -1.9200000000000002)",279,0.071593388915061951,1.8371376427239738e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.9200000000000002, -1.7066666666666668)",281,0.072106607258319855,1.8503069441067055e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.7066666666666668, -1.4933333333333334)",266,0.068257495760917664,1.7515361832920462e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.4933333333333334, -1.28)",246,0.063125357031822205,1.6198417142732069e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.28, -1.0666666666666669)",256,0.065691426396369934,1.6856889487826265e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.0666666666666669, -0.8533333333333335)",266,0.068257495760917664,1.7515361832920462e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.8533333333333335, -0.6400000000000001)",275,0.07056695967912674,1.8107986761606298e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.6400000000000001, -0.42666666666666675)",256,0.065691426396369934,1.6856889487826265e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.42666666666666675, -0.21333333333333337)",285,0.073133036494255066,1.8766459106700495e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.21333333333333337, 0.0)",276,0.07082357257604599,1.8173834178014658e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.21333333333333337)",248,0.063638567924499512,1.6330111975548789e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.21333333333333337, 0.42666666666666675)",290,0.073902852833271027,1.9095694369752891e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.42666666666666675, 0.6400000000000001)",302,0.07698214054107666,1.9885861547663808e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.6400000000000001, 0.8533333333333335)",290,0.073902852833271027,1.9095694369752891e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.8533333333333335, 1.0666666666666664)",283,0.072619818150997162,1.8634764273883775e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.0666666666666664, 1.2800000000000002)",291,0.074672676622867584,1.9161541786161251e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.2800000000000002, 1.4933333333333332)",270,0.069283924996852875,1.7778751498553902e-05
