dataset,met_over_mt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.049999999999999996, 0.09999999999999999)",5853,0.54861468076705933,5.1422870456008241e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.09999999999999999, 0.15)",4314,0.40436080098152161,3.7901634641457349e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.15, 0.19999999999999998)",2827,0.2649809718132019,2.4837254386511631e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.19999999999999998, 0.24999999999999997)",1615,0.15137752890586853,1.4188951354299206e-05
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.24999999999999997, 0.3)",791,0.074142187833786011,6.9495113166340161e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.3, 0.35)",314,0.029431916773319244,2.7587186650634976e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.35, 0.39999999999999997)",146,0.013684904202818871,1.2827164255213575e-06
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.39999999999999997, 0.44999999999999996)",53,0.0049678077921271324,4.6564360900447355e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.44999999999999996, 0.49999999999999994)",19,0.0017809121636673808,1.6692884230451455e-07
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.49999999999999994, 0.5499999999999999)",2,0.00018746443674899638,1.7571457178178207e-08
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.5499999999999999, 0.6)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[0.6, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.0, 0.049999999999999996)",22699,0.0070660845376551151,2.1996366950105539e-09
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.049999999999999996, 0.09999999999999999)",12679,0.0039469087496399879,1.2286529571525762e-09
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.09999999999999999, 0.15)",5357,0.0016676071099936962,5.1911774878732331e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.15, 0.19999999999999998)",2670,0.0008311575511470437,2.5873517217611663e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.19999999999999998, 0.24999999999999997)",1700,0.00052920146845281124,1.6473775121816914e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.24999999999999997, 0.3)",1177,0.0003663941752165556,1.1405666688890648e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.3, 0.35)",724,0.00022537756012752652,7.0158899523331542e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.35, 0.39999999999999997)",479,0.00014911028847564012,4.6417283211530602e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.39999999999999997, 0.44999999999999996)",222,6.910748197697103e-05,2.151281236484337e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.44999999999999996, 0.49999999999999994)",24,7.4710792432597373e-06,2.3257095034534547e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.49999999999999994, 0.5499999999999999)",2,6.2258993693831144e-07,1.9380912077027884e-13
