dataset,met,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2040.0, 2080.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2080.0, 2120.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2120.0, 2160.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2160.0, 2200.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2200.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.0, 40.0)",3557,0.0025428549852222204,1.8807704282863824e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[40.0, 80.0)",5122,0.0036692155990749598,2.7082671660849655e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[80.0, 120.0)",3668,0.0026424750685691833,1.9394619243939815e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[120.0, 160.0)",2422,0.0017393507296219468,1.2806371518792048e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[160.0, 200.0)",1486,0.0010587351862341166,7.8572531814202762e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[200.0, 240.0)",1065,0.0007613294874317944,5.6312077223452661e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[240.0, 280.0)",785,0.00056354381376877427,4.1507025594356151e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[280.0, 320.0)",605,0.00043556481250561774,3.1989488835648672e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[320.0, 360.0)",469,0.00033521765726618469,2.479846328284907e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[360.0, 400.0)",353,0.00025232220650650561,1.86649418143503e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[400.0, 440.0)",267,0.00019269561744295061,1.4117675084523995e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[440.0, 480.0)",231,0.00016360949666704983,1.2214168565449768e-10
