dataset,min_dphi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",4050,1.0377192497253418,0.00026668125065043569
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.08)",814,0.20887820422649384,5.3599640523316339e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.08, 0.16)",727,0.18604017794132233,4.7870933485683054e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.16, 0.24)",675,0.17269660532474518,4.4446875108405948e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.24, 0.32)",637,0.16345874965190887,4.1944680560845882e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.32, 0.4)",563,0.14395660161972046,3.707198629854247e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.4, 0.48)",476,0.12163177877664566,3.1343279260909185e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.48, 0.56)",423,0.10854481905698776,2.7853375286213122e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.56, 0.64)",384,0.098537139594554901,2.52853351412341e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.64, 0.72)",334,0.085706785321235657,2.1992973415763117e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.72, 0.8)",345,0.08852946013212204,2.2717293177265674e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.8, 0.88)",272,0.069797143340110779,1.7910444512381218e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.88, 0.96)",273,0.069540530443191528,1.7976291928789578e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.96, 1.04)",227,0.058249820023775101,1.4947319868952036e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.04, 1.12)",257,0.065948031842708588,1.6922736904234625e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.12, 1.2)",221,0.056710176169872284,1.4552236279996578e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.2, 1.28)",215,0.055170532315969467,1.4157153600535821e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.28, 1.36)",204,0.052347853779792786,1.3432833839033265e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.36, 1.44)",235,0.060302674770355225,1.5474097381229512e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.44, 1.52)",204,0.052347853779792786,1.3432833839033265e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.52, 1.6)",183,0.046959105879068375,1.2050041732436512e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.6, 1.68)",119,0.030536249279975891,7.8358198152272962e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.68, 1.76)",110,0.028226785361766815,7.2431948865414597e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.76, 1.84)",106,0.027200356125831604,6.9798056756553706e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.84, 1.92)",92,0.023607855662703514,6.0579445744224358e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.92, 2.0)",105,0.026943748816847801,6.9139587139943615e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.0, 2.08)",84,0.021554999053478241,5.5311670621449593e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.08, 2.16)",81,0.020785177126526833,5.3336252676672302e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.16, 2.24)",99,0.025404106825590134,6.5188751250389032e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.24, 2.32)",115,0.02950982004404068,7.5724306043412071e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.32, 2.4)",127,0.032075893133878708,8.3625973275047727e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.4, 2.48)",182,0.046702496707439423,1.1984195225522853e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.48, 2.56)",198,0.050808213651180267,1.3037750250077806e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.56, 2.64)",247,0.062868751585483551,1.6264264559140429e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.64, 2.72)",300,0.07698214054107666,1.9754166714847088e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.72, 2.8000000000000003)",422,0.1077749952673912,2.7787527869804762e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.8000000000000003, 2.88)",537,0.13779802620410919,3.5359960747882724e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.88, 2.96)",725,0.18604017794132233,4.7739238652866334e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.96, 3.04)",1014,0.25917321443557739,6.6769083787221462e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.04, 3.12)",1244,0.31870606541633606,8.1913945905398577e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.12, 3.2)",347,0.089042678475379944,2.284898619109299e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.2, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-inf, 0.0)",276,0.0002006943104788661,1.4593552755126638e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.0, 0.08)",3463,0.0024803199339658022,1.8310678528976609e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.08, 0.16)",2836,0.0020447550341486931,1.4995403807560592e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.16, 0.24)",2244,0.0015997372101992369,1.1865192162119342e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.24, 0.32)",1683,0.0012034387327730656,8.8988943991452629e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.32, 0.4)",1295,0.00092857476556673646,6.8473371417354656e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.4, 0.48)",1077,0.00077441823668777943,5.6946580784256184e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.48, 0.56)",931,0.00066825386602431536,4.9226800413748606e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.56, 0.64)",771,0.00054754642769694328,4.076677051489952e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.64, 0.72)",719,0.00051555165555328131,3.8017261561051896e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.72, 0.8)",670,0.00047846685629338026,3.5426378497405153e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.8, 0.88)",578,0.00041884029633365571,3.0561858599398306e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.88, 0.96)",482,0.00034321635030210018,2.5485841215200367e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.96, 1.04)",496,0.00035048788413405418,2.6226093519099436e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.04, 1.12)",461,0.00032940044184215367,2.4375462759351763e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.12, 1.2)",428,0.00030685868114233017,2.2630580742699635e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.2, 1.28)",392,0.00028358979034237564,2.0727074223625408e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.28, 1.36)",401,0.00028140831273049116,2.120295189422805e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.36, 1.44)",379,0.00027268248959444463,2.0039697679052892e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.44, 1.52)",312,0.00022541751968674362,1.6497059274200865e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.52, 1.6)",266,0.00019051416893489659,1.4064800712976222e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.6, 1.68)",162,0.00011489022290334105,8.5657807236128036e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.68, 1.76)",114,8.2895472587551922e-05,6.0277713376244435e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.76, 1.84)",82,5.6717955885687843e-05,4.3357654272435653e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.84, 1.92)",71,5.1627885113703087e-05,3.7541386666006815e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.92, 2.0)",62,4.5083503209752962e-05,3.2782616898874295e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.0, 2.08)",50,3.6357665521791205e-05,2.6437595168626871e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.08, 2.16)",38,2.7631824195850641e-05,2.009257170365597e-11
