dataset,njet,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[5.5, 6.5)",1,9.3732218374498188e-05,8.7857285890891035e-09
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[6.5, 7.5)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[7.5, 8.5)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[8.5, 9.5)",0,0,0
SVJ_Kevin_mZprime-1000_mDark-20_rinv-0.3_alpha-peak,"[9.5, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[-inf, -0.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[-0.5, 0.5)",483,0.00015035546675790101,4.6804903702790668e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[0.5, 1.5)",1574,0.00048997829435393214,1.5252778207131001e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[1.5, 2.5)",31916,0.009935290552675724,3.0928060112955791e-09
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[2.5, 3.5)",13344,0.0041539198718965054,1.2930944093270114e-09
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[3.5, 4.5)",2241,0.00069761200575158,2.1716312081920819e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[4.5, 5.5)",220,6.8484892835840583e-05,2.1319003853936813e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[5.5, 6.5)",13,4.0468344195687678e-06,1.2597593324406575e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[6.5, 7.5)",1,3.1129496846915572e-07,9.6904560385139421e-14
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[7.5, 8.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[8.5, 9.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.1_alpha-peak,"[9.5, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[-inf, -0.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[-0.5, 0.5)",27696,0.0086752893403172493,2.7173829852955578e-09
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[0.5, 1.5)",17092,0.0053537711501121521,1.6769754473955345e-09
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[1.5, 2.5)",4185,0.0013108783168718219,4.1060976840867625e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[2.5, 3.5)",463,0.0001450266718165949,4.5427078765314377e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[3.5, 4.5)",46,1.4408698007173371e-05,4.5132734355357584e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[4.5, 5.5)",2,6.264651233323093e-07,1.9622927685970099e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[5.5, 6.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[6.5, 7.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[7.5, 8.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[8.5, 9.5)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.9_alpha-peak,"[9.5, inf)",0,0,0
