dataset,dijet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1960.0, 2000.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2000.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.0, 40.0)",859,0.00061735312920063734,4.5419787375600151e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[40.0, 80.0)",1947,0.0013968615094199777,1.0294799457355452e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[80.0, 120.0)",2365,0.0016789969522505999,1.2504982604966131e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[120.0, 160.0)",2269,0.0016310048522427678,1.1997380866546337e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[160.0, 200.0)",2064,0.0014775755116716027,1.0913439041360107e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[200.0, 240.0)",1768,0.0012710639275610447,9.3483332186394819e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[240.0, 280.0)",1528,0.0010994557524099946,8.079328872589997e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[280.0, 320.0)",1270,0.00091330450959503651,6.7151489924199836e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[320.0, 360.0)",1121,0.00080350437201559544,5.9273086439048939e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[360.0, 400.0)",938,0.00067334395134821534,4.9596926565698141e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[400.0, 440.0)",732,0.00052500469610095024,3.8704639493403192e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[440.0, 480.0)",649,0.00045883373240940273,3.4315997265998988e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[480.0, 520.0)",520,0.00037084816722199321,2.7495097865148921e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[520.0, 560.0)",489,0.00034976072493009269,2.5855967367149901e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[560.0, 600.0)",353,0.00025377649581059813,1.86649418143503e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[600.0, 640.0)",314,0.00022396321583073586,1.6602809405075192e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[640.0, 680.0)",258,0.0001861512428149581,1.3641798801700133e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[680.0, 720.0)",201,0.00014615780673921108,1.0627913132887912e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[720.0, 760.0)",158,0.00011198160791536793,8.3542797679747594e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[760.0, 800.0)",134,9.5984236395452172e-05,7.0852754219252745e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[800.0, 840.0)",135,9.6711388323456049e-05,7.138150487362438e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[840.0, 880.0)",85,6.0353722801664844e-05,4.4943913174444461e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[880.0, 920.0)",79,5.5990803957683966e-05,4.1771398839873797e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[920.0, 960.0)",61,4.1447736293775961e-05,3.225386624450266e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[960.0, 1000.0)",50,3.6357665521791205e-05,2.6437595168626871e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1000.0, 1040.0)",37,2.6904672267846763e-05,1.9563821049284336e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1040.0, 1080.0)",25,1.8178832760895602e-05,1.3218797584313435e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1080.0, 1120.0)",21,1.5270219591911882e-05,1.1103789762656469e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1120.0, 1160.0)",21,1.2361606422928162e-05,1.1103789762656469e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1160.0, 1200.0)",11,7.9986857599578798e-06,5.8162710758757896e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1200.0, 1240.0)",11,7.9986857599578798e-06,5.8162710758757896e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1240.0, 1280.0)",9,6.5443796302133705e-06,4.7587671650473062e-12
