dataset,sublFatJet_eta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, -4.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-4.0, -3.8)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.8, -3.6)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.6, -3.4)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.4, -3.2)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.2, -3.0)",5,0.0012830356135964394,3.2923611570367939e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-3.0, -2.8)",14,0.0035924999974668026,9.218611580763536e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.8, -2.5999999999999996)",37,0.0094944639131426811,2.4363473585253814e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.5999999999999996, -2.4)",39,0.0094944639131426811,2.5680417365947505e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.4, -2.2)",61,0.015653034672141075,4.0166805774788372e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.2, -2.0)",95,0.024377677589654922,6.255486368900165e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-2.0, -1.7999999999999998)",161,0.041313748806715012,1.06014031189261e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.7999999999999998, -1.5999999999999996)",193,0.049011964350938797,1.2708514077530708e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.5999999999999996, -1.4)",258,0.066204637289047241,1.6988584320642985e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.4, -1.1999999999999997)",304,0.077495351433753967,2.0017556380480528e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.1999999999999997, -1.0)",401,0.1028994619846344,2.6404737582197413e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-1.0, -0.7999999999999998)",441,0.11316374689340591,2.9038625143584795e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.7999999999999998, -0.5999999999999996)",443,0.11367695778608322,2.9170319976401515e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.5999999999999996, -0.3999999999999999)",475,0.12188839167356491,3.1277431844500825e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.3999999999999999, -0.19999999999999973)",485,0.12394124269485474,3.1935902370605618e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-0.19999999999999973, 0.0)",516,0.13240927457809448,3.3977168641285971e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.20000000000000018)",514,0.13189606368541718,3.3845473808469251e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.20000000000000018, 0.40000000000000036)",491,0.12599410116672516,3.2330986869055778e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.40000000000000036, 0.6000000000000005)",519,0.13317909836769104,3.4174710890511051e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.6000000000000005, 0.8000000000000007)",434,0.11136749386787415,2.8577695047715679e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.8000000000000007, 1.0)",407,0.10392589122056961,2.6799820261658169e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.0, 1.2000000000000002)",369,0.094688035547733307,2.4297625714098103e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.2000000000000002, 1.4000000000000004)",324,0.08314070850610733,2.1334501070668921e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.4000000000000004, 1.6000000000000005)",253,0.064921602606773376,1.6659347238601185e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.6000000000000005, 1.8000000000000007)",191,0.049011964350938797,1.257682015420869e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.8000000000000007, 2.0)",181,0.045932676643133163,1.1918347809114493e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.0, 2.2)",95,0.024377677589654922,6.255486368900165e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.2, 2.4000000000000004)",70,0.017962498590350151,4.6093055061646737e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.4000000000000004, 2.6000000000000005)",60,0.015396428294479847,3.9508336158178281e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.6000000000000005, 2.8000000000000007)",28,0.0071849999949336052,1.8437223161527072e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.8000000000000007, 3.0)",10,0.0025660712271928787,6.5847223140735878e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.0, 3.2)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.2, 3.4000000000000004)",3,0.00076982140308246017,1.9754168079089141e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.4000000000000004, 3.6000000000000005)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.6000000000000005, 3.8000000000000007)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.8000000000000007, 4.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-inf, -4.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-4.0, -3.8)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.8, -3.6)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.6, -3.4)",1,7.2715329224593006e-07,5.2875190120413307e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.4, -3.2)",3,2.1814598767377902e-06,1.5862556494022906e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.2, -3.0)",7,5.0900730457215104e-06,3.7012632542188229e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-3.0, -2.8)",19,1.381591209792532e-05,1.0046285851827985e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.8, -2.5999999999999996)",49,3.563050995580852e-05,2.590884277953176e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-2.5999999999999996, -2.4)",64,4.6537810703739524e-05,3.3840121677064516e-11
