dataset,dijet_mt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 100.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[100.0, 200.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[200.0, 300.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[300.0, 400.0)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[400.0, 500.0)",55,0.014113392680883408,3.6215974432707299e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[500.0, 600.0)",334,0.085706785321235657,2.1992973415763117e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[600.0, 700.0)",783,0.2009233832359314,5.1558377890614793e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[700.0, 800.0)",1348,0.34539321064949036,8.8762055383995175e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[800.0, 900.0)",1770,0.45368140935897827,0.00011654958507278934
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[900.0, 1000.0)",1685,0.43186980485916138,0.00011095257650595158
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1000.0, 1100.0)",957,0.24454659223556519,6.301579560386017e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1100.0, 1200.0)",387,0.099306963384151459,2.5482875571469776e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1200.0, 1300.0)",158,0.040543928742408752,1.0403861779195722e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1300.0, 1400.0)",98,0.025147499516606331,6.4530281633778941e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1400.0, 1500.0)",80,0.020015357062220573,5.2677778512588702e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1500.0, 1600.0)",61,0.015653034672141075,4.0166805774788372e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1600.0, 1700.0)",51,0.013086963444948196,3.3582084597583162e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1700.0, 1800.0)",30,0.0076982141472399235,1.9754168079089141e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1800.0, 1900.0)",17,0.0043623214587569237,1.1194027820238261e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1900.0, 2000.0)",9,0.0023094641510397196,5.9262504237267422e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2000.0, 2100.0)",11,0.0028226785361766815,7.243194772854622e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2100.0, 2200.0)",6,0.0015396428061649203,3.9508336158178281e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2200.0, 2300.0)",11,0.0028226785361766815,7.243194772854622e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2300.0, 2400.0)",7,0.0017962499987334013,4.609305790381768e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2400.0, 2500.0)",5,0.0012830356135964394,3.2923611570367939e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2500.0, 2600.0)",3,0.00076982140308246017,1.9754168079089141e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2600.0, 2700.0)",3,0.00076982140308246017,1.9754168079089141e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2700.0, 2800.0)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2800.0, 2900.0)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2900.0, 3000.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3000.0, 3100.0)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3100.0, 3200.0)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3200.0, 3300.0)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3300.0, 3400.0)",4,0.0010264285374432802,2.633888982472854e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3400.0, 3500.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3500.0, 3600.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3600.0, 3700.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3700.0, 3800.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3800.0, 3900.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3900.0, 4000.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4000.0, 4100.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4100.0, 4200.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4200.0, 4300.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4300.0, 4400.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4400.0, 4500.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4500.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-inf, 0.0)",0,0,0
