dataset,mht_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[700.0, 750.0)",98,7.1261019911617041e-05,5.181768555906352e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[750.0, 800.0)",79,5.7445111451670527e-05,4.1771398839873797e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[800.0, 850.0)",72,5.2355037041706964e-05,3.807013732037845e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[850.0, 900.0)",54,3.7811973015777767e-05,2.8552602990283837e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[900.0, 950.0)",52,3.7811973015777767e-05,2.7495098212093616e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[950.0, 1000.0)",33,2.3996059098863043e-05,1.7448813227627369e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1000.0, 1050.0)",26,1.8905986507888883e-05,1.3747549106046808e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1050.0, 1100.0)",19,1.381591209792532e-05,1.0046285851827985e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1100.0, 1150.0)",19,1.2361606422928162e-05,1.0046285851827985e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1150.0, 1200.0)",7,5.0900730457215104e-06,3.7012632542188229e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1200.0, 1250.0)",7,5.0900730457215104e-06,3.7012632542188229e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1250.0, 1300.0)",5,3.6357664612296503e-06,2.643759560230774e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1300.0, 1350.0)",1,7.2715329224593006e-07,5.2875190120413307e-13
