dataset,dijet_deta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.2)",1002,0.25609391927719116,6.5978922066278756e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.2, 0.4)",1030,0.26379212737083435,6.7822642449755222e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.4, 0.6000000000000001)",994,0.25506749749183655,6.5452142735011876e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.6000000000000001, 0.8)",911,0.23325587809085846,5.9986821725033224e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[0.8, 1.0)",785,0.2014365941286087,5.1690072723431513e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.0, 1.2000000000000002)",713,0.1829608827829361,4.6949069655966014e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.2000000000000002, 1.4000000000000001)",625,0.15986624360084534,4.1154515201924369e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.4000000000000001, 1.6)",497,0.12702053785324097,3.2726071367505938e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.6, 1.8)",383,0.098280534148216248,2.521948772482574e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[1.8, 2.0)",313,0.080318033695220947,2.0610181309166364e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.0, 2.2)",239,0.061329104006290436,1.5737487046862952e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.2, 2.4000000000000004)",153,0.039260890334844589,1.0074625606648624e-05
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.4000000000000004, 2.6)",100,0.025660714134573936,6.5847225414472632e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.6, 2.8000000000000003)",56,0.01436999998986721,3.6874446323054144e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[2.8000000000000003, 3.0)",32,0.0082114282995462418,2.1071111859782832e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.0, 3.2)",17,0.0043623214587569237,1.1194027820238261e-06
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.2, 3.4000000000000004)",12,0.0030792856123298407,7.9016672316356562e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.4000000000000004, 3.6)",4,0.0010264285374432802,2.633888982472854e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.6, 3.8000000000000003)",10,0.0025660712271928787,6.5847223140735878e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[3.8000000000000003, 4.0)",2,0.00051321426872164011,1.316944491236427e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4.0, 4.2)",3,0.00076982140308246017,1.9754168079089141e-07
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4.2, 4.4)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4.4, 4.6000000000000005)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4.6000000000000005, 4.800000000000001)",1,0.00025660713436082006,6.5847224561821349e-08
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[4.800000000000001, 5.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[5.0, 5.2)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[5.2, 5.4)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[5.4, 5.6000000000000005)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[5.6000000000000005, 5.800000000000001)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[5.800000000000001, 6.0)",0,0,0
SVJ_Esh_mZp-1000_mD-20_rinv-0p3_aD-peak,"[6.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.0, 0.2)",1866,0.0013335990952327847,9.866510941591855e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.2, 0.4)",1801,0.0012892427621409297,9.5228214203046946e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.4, 0.6000000000000001)",1830,0.0013176017673686147,9.6761598733507981e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.6000000000000001, 0.8)",1819,0.0013081487268209457,9.6179975095367354e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[0.8, 1.0)",1769,0.0012645195238292217,9.3536212109057715e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.0, 1.2000000000000002)",1640,0.0011692624539136887,8.6715312708207648e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.2000000000000002, 1.4000000000000001)",1554,0.0011125445598736405,8.2168044590602562e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.4000000000000001, 1.6)",1391,0.00099110999144613743,7.3549388801552595e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.6, 1.8)",1276,0.00092348468024283648,6.7468741704601598e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[1.8, 2.0)",1110,0.00079696002649143338,5.8691462800908312e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.0, 2.2)",865,0.00061444455059245229,4.5737039156001913e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.2, 2.4000000000000004)",743,0.00053300336003303528,3.9286265907101381e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.4000000000000004, 2.6)",651,0.00046465094783343375,3.4421748784652095e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.6, 2.8000000000000003)",567,0.00041084160329774022,2.9980232185700117e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[2.8000000000000003, 3.0)",412,0.00029231561347842216,2.1784578307926239e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[3.0, 3.2)",343,0.00024505067267455161,1.8136189772199884e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[3.2, 3.4000000000000004)",251,0.00017960686818696558,1.3271672649750599e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[3.4000000000000004, 3.6)",190,0.00013815912825521082,1.0046286025300333e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[3.6, 3.8000000000000003)",144,0.0001018014590954408,7.61402746407569e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[3.8000000000000003, 4.0)",113,8.0714016803540289e-05,5.97489627218728e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[4.0, 4.2)",72,5.2355037041706964e-05,3.807013732037845e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[4.2, 4.4)",46,3.3449050533818081e-05,2.4322587346969904e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[4.4, 4.6000000000000005)",32,2.18145978578832e-05,1.6920060838532258e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[4.6000000000000005, 4.800000000000001)",16,1.0180146091443021e-05,8.4600304192661291e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[4.800000000000001, 5.0)",5,3.6357664612296503e-06,2.643759560230774e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[5.0, 5.2)",3,2.1814598767377902e-06,1.5862556494022906e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[5.2, 5.4)",3,2.1814598767377902e-06,1.5862556494022906e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[5.4, 5.6000000000000005)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[5.6000000000000005, 5.800000000000001)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[5.800000000000001, 6.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[6.0, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.0, 0.2)",204,0.00019958340271841735,1.9526243122403031e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.2, 0.4)",188,0.00018392980564385653,1.7994773726659474e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.4, 0.6000000000000001)",202,0.00019371330563444644,1.9334810141824477e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.6000000000000001, 0.8)",159,0.00015360095130745322,1.5218984406040192e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p9_aD-peak,"[0.8, 1.0)",155,0.00014968756295274943,1.4836117057104303e-10
