dataset,leadFatJet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[300.0, 350.0)",327,0.00023196189431473613,1.7290187337426488e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[350.0, 400.0)",385,0.00027413677889853716,2.0356948071675873e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[400.0, 450.0)",423,0.00030322291422635317,2.2366206109403208e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[450.0, 500.0)",516,0.0003679395595099777,2.7283597603400267e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[500.0, 550.0)",562,0.00040284291026182473,2.9715857552403691e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[550.0, 600.0)",642,0.00046246949932537973,3.3945871114049453e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[600.0, 650.0)",639,0.00045301648788154125,3.3787245223848572e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[650.0, 700.0)",692,0.00049446424236521125,3.658963132480153e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[700.0, 750.0)",770,0.0005497278762049973,4.0713896143351747e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[750.0, 800.0)",833,0.00059990148292854428,4.404503428645512e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[800.0, 850.0)",872,0.00062680611154064536,4.6107165307951448e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[850.0, 900.0)",950,0.00068206980358809233,5.0231430126501664e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[900.0, 950.0)",985,0.00070752017199993134,5.2082060886249337e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p1_aD-peak,"[950.0, 1000.0)",1037,0.00074824073817580938,5.4831572615654522e-10
