dataset,sublFatJet_phi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-2.7733333333333334, -2.56)",544,0.00046649138676002622,4.0899836295515968e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-2.56, -2.3466666666666667)",530,0.00045435217907652259,3.9847267152559596e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-2.3466666666666667, -2.1333333333333337)",492,0.00041966882417909801,3.699029416104338e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-2.1333333333333337, -1.9200000000000002)",566,0.00048383304965682328,4.2553874313178142e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.9200000000000002, -1.7066666666666668)",533,0.00045001678518019617,4.0072817286684881e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.7066666666666668, -1.4933333333333334)",543,0.00046215596375986934,4.0824651992288352e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.4933333333333334, -1.28)",507,0.00043094091233797371,3.8118044831669806e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.28, -1.0666666666666669)",490,0.00040926379733718932,3.6839925554588149e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.0666666666666669, -0.8533333333333335)",508,0.00043354218360036612,3.8193229134897422e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-0.8533333333333335, -0.6400000000000001)",512,0.00043354218360036612,3.8493963572250323e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-0.6400000000000001, -0.42666666666666675)",504,0.00043007382191717625,3.7892494697544521e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-0.42666666666666675, -0.21333333333333337)",515,0.00043440924491733313,3.8719513706375608e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-0.21333333333333337, 0.0)",499,0.00043094091233797371,3.7516578732521566e-10
