dataset,leadFatJet_phi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, -3.2)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.2, -2.986666666666667)",346,0.00033077495754696429,3.2366009872220047e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.986666666666667, -2.7733333333333334)",532,0.00050873577129095793,4.9765080945007867e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.7733333333333334, -2.56)",514,0.00049519527237862349,4.8081300052515985e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.56, -2.3466666666666667)",515,0.00049616245087236166,4.8174841893455778e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.3466666666666667, -2.1333333333333337)",485,0.00046327838208526373,4.5368539480783454e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.1333333333333337, -1.9200000000000002)",540,0.00050873577129095793,5.0513426774756454e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.9200000000000002, -1.7066666666666668)",479,0.00046134402509778738,4.4807280108472014e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.7066666666666668, -1.4933333333333334)",511,0.00047488452401012182,4.7800668978581484e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.4933333333333334, -1.28)",503,0.00047875323798507452,4.7052323148832897e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.28, -1.0666666666666669)",510,0.00048358913045376539,4.7707121586526569e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.0666666666666669, -0.8533333333333335)",545,0.00052324344869703054,5.098114153057054e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.8533333333333335, -0.6400000000000001)",557,0.00052904651965945959,5.210366027519342e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.6400000000000001, -0.42666666666666675)",525,0.00050003116484731436,4.9110276956199073e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.42666666666666675, -0.21333333333333337)",542,0.00051453884225338697,5.0700510456636039e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.21333333333333337, 0.0)",513,0.00049035937990993261,4.7987752660461069e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.0, 0.21333333333333337)",513,0.00048455630894750357,4.7987752660461069e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.21333333333333337, 0.42666666666666675)",498,0.00047391734551638365,4.6584602841903688e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.42666666666666675, 0.6400000000000001)",499,0.00046714709606021643,4.6678144682843481e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.6400000000000001, 0.8533333333333335)",562,0.00053581676911562681,5.2571380582122629e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.8533333333333335, 1.0666666666666664)",538,0.00051067012827843428,5.0326337541761745e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.0666666666666664, 1.2800000000000002)",522,0.00049519527237862349,4.8829645882264572e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.2800000000000002, 1.4933333333333332)",530,0.00050486705731600523,4.9577991712013159e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.4933333333333332, 1.706666666666667)",465,0.00044200045522302389,4.3497672130854426e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.706666666666667, 1.92)",507,0.00048262195196002722,4.7426496063707191e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.92, 2.1333333333333337)",505,0.00048068759497255087,4.7239406830712483e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.1333333333333337, 2.3466666666666667)",509,0.00048262195196002722,4.7613579745586776e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.3466666666666667, 2.5600000000000005)",528,0.00050293270032852888,4.939090247901845e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.5600000000000005, 2.7733333333333334)",529,0.00050196552183479071,4.9484449871073366e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.7733333333333334, 2.9866666666666672)",493,0.00047295016702264547,4.6116885310532041e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.9866666666666672, 3.2)",365,0.0003452826349530369,3.4143332605651722e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3.2, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-inf, -3.2)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-3.2, -2.986666666666667)",472,0.00040926379733718932,3.5486621974278876e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-2.986666666666667, -2.7733333333333334)",625,0.0005367252160795033,4.6989701019128916e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-2.7733333333333334, -2.56)",546,0.00047169387107715011,4.1050202126413637e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-2.56, -2.3466666666666667)",596,0.00050984561676159501,4.4809378429988556e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-2.3466666666666667, -2.1333333333333337)",583,0.00049857347039505839,4.3831993590259799e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-2.1333333333333337, -1.9200000000000002)",599,0.00050897849723696709,4.5034931339671402e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.9200000000000002, -1.7066666666666668)",577,0.00049163680523633957,4.3380893322009229e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.7066666666666668, -1.4933333333333334)",596,0.00051331392023712397,4.4809378429988556e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-1.4933333333333334, -1.28)",609,0.00051071267807856202,4.5786766045274874e-10
