dataset,dijet_deta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.2000000000000002, 1.4000000000000001)",1229,0.0010517733171582222,9.2400548323823273e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.4000000000000001, 1.6)",1027,0.000876622274518013,7.7213480054183492e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.6, 1.8)",879,0.0007448254618793726,6.6086314198798846e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.8, 2.0)",719,0.00061996531439945102,5.4056953358028181e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.0, 2.2)",631,0.0005263201892375946,4.7440801287379486e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.2, 2.4000000000000004)",500,0.00042833967017941177,3.759176026019162e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.4000000000000004, 2.6)",389,0.00033556163543835282,2.9246391419768258e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.6, 2.8000000000000003)",309,0.0002627265639603138,2.3231708223825365e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.8000000000000003, 3.0)",219,0.0001864231307990849,1.646519171005778e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.0, 3.2)",171,0.00014480308163911104,1.2856382625159313e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.2, 3.4000000000000004)",105,9.1043853899464011e-05,7.894269959951572e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.4000000000000004, 3.6)",76,6.5898406319320202e-05,5.7139477177559073e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.6, 3.8000000000000003)",57,4.7689638449810445e-05,4.2854608750531042e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.8000000000000003, 4.0)",40,3.2949203159660101e-05,3.0073409040820565e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.0, 4.2)",18,1.5607518434990197e-05,1.3533034068369254e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.2, 4.4)",14,1.2139180398662575e-05,1.0525693164287198e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.4, 4.6000000000000005)",7,6.0695901993312873e-06,5.2628465821435988e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.6000000000000005, 4.800000000000001)",2,1.7341686771032983e-06,1.5036704520410282e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.800000000000001, 5.0)",4,3.4683373542065965e-06,3.0073409040820565e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[5.0, 5.2)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[5.2, 5.4)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[5.4, 5.6000000000000005)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[5.6000000000000005, 5.800000000000001)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[5.800000000000001, 6.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[6.0, inf)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.2)",1412,0.00013842321641277522,1.5022684485277438e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.2, 0.4)",1394,0.000137804338010028,1.4831177952423502e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.4, 0.6000000000000001)",1319,0.0001298620190937072,1.4033230306964573e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.6000000000000001, 0.8)",1358,0.00013574140029959381,1.4448163151992155e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.8, 1.0)",1370,0.00013512252189684659,1.4575835330377096e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.0, 1.2000000000000002)",1221,0.00012140397302573547,1.2990579965899141e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.2000000000000002, 1.4000000000000001)",1135,0.00011315221490804106,1.2075600068495174e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.4000000000000001, 1.6)",1093,0.00010882004426093772,1.1628750046233094e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.6, 1.8)",860,8.478679956169799e-05,9.1497937698692411e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[1.8, 2.0)",719,7.0449372287839651e-05,7.6496534801018257e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.0, 2.2)",698,6.7870700149796903e-05,7.4262280352899168e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.2, 2.4000000000000004)",556,5.4874180932529271e-05,5.9154482527634666e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.4000000000000004, 2.6)",454,4.5590957597596571e-05,4.8302399406618957e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.6, 2.8000000000000003)",374,3.713290425366722e-05,3.9790965661312683e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[2.8000000000000003, 3.0)",273,2.6715062631410547e-05,2.904527746788732e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.0, 3.2)",222,2.2486037778435275e-05,2.3619235907379466e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.2, 3.4000000000000004)",177,1.7225542251253501e-05,1.8831553070391971e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.4000000000000004, 3.6)",126,1.2583928764797747e-05,1.3405512594086288e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.6, 3.8000000000000003)",77,7.7360218710964546e-06,8.1922576361526112e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[3.8000000000000003, 4.0)",75,7.5297280091035645e-06,7.9794715756795198e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4.0, 4.2)",45,4.4353191697155125e-06,4.7876828369874946e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4.2, 4.4)",31,3.197555770384497e-06,3.2981814978780277e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4.4, 4.6000000000000005)",27,2.7849678190250415e-06,2.8726096479823882e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4.6000000000000005, 4.800000000000001)",14,1.444057488697581e-06,1.4895013391094669e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[4.800000000000001, 5.0)",3,1.0314695941815444e-07,3.1917885354041178e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[5.0, 5.2)",2,2.0629391883630888e-07,2.1278590800716084e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[5.2, 5.4)",1,1.0314695941815444e-07,1.0639295400358042e-14
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[5.4, 5.6000000000000005)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[5.6000000000000005, 5.800000000000001)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[5.800000000000001, 6.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[6.0, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.0, 0.2)",3563,0.0011273935670033097,3.5672639842054821e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.2, 0.4)",3508,0.0011099906405434012,3.5121980324070989e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.4, 0.6000000000000001)",3478,0.001100498135201633,3.4821623362546461e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.6000000000000001, 0.8)",3396,0.0010745518375188112,3.4000641191411773e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.8, 1.0)",3251,0.0010286713950335979,3.2548905237739234e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.0, 1.2000000000000002)",3045,0.00096348952502012253,3.0486441149335519e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.2000000000000002, 1.4000000000000001)",2620,0.00082901236601173878,2.6231353200678598e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.4000000000000001, 1.6)",2346,0.00074231409234926105,2.3488075373556683e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.6, 1.8)",2020,0.00063916220096871257,2.0224173724603389e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[1.8, 2.0)",1663,0.0005262013291940093,1.6649902290222229e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.0, 2.2)",1321,0.00041798676829785109,1.3225809336603334e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.2, 2.4000000000000004)",1029,0.00032559302053414285,1.030231455700914e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.4000000000000004, 2.6)",755,0.00023889477597549558,7.5590353421084444e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.6, 2.8000000000000003)",623,0.00019712775247171521,6.2374556908384449e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[2.8000000000000003, 3.0)",459,0.00014523537538480014,4.5954930832925456e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.0, 3.2)",337,0.00010663250577636063,3.3740329974385475e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.2, 3.4000000000000004)",216,6.8346060288604349e-05,2.1625850415984971e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.4000000000000004, 3.6)",155,4.9044625484384596e-05,1.551854998671498e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.6, 3.8000000000000003)",96,3.0376024369616061e-05,9.6114886882769923e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[3.8000000000000003, 4.0)",74,2.3414851966663264e-05,7.4088556470397471e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[4.0, 4.2)",48,1.5188012184808031e-05,4.8057443441384962e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[4.2, 4.4)",22,6.9611724029527977e-06,2.2026328243968107e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[4.4, 4.6000000000000005)",16,5.0626708798517939e-06,1.6019147813794987e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[4.6000000000000005, 4.800000000000001)",5,1.582084678375395e-06,5.0059836918109335e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[4.800000000000001, 5.0)",3,9.4925076155050192e-07,3.0035902150865601e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[5.0, 5.2)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[5.2, 5.4)",1,3.1641692999073712e-07,1.0011967383621867e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[5.4, 5.6000000000000005)",1,3.1641692999073712e-07,1.0011967383621867e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[5.6000000000000005, 5.800000000000001)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[5.800000000000001, 6.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[6.0, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.0, 0.2)",4135,0.0013162569375708699,4.1899209102247426e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.2, 0.4)",4224,0.0013445875374600291,4.2801029387362632e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.4, 0.6000000000000001)",4164,0.0013254882069304585,4.219306015684765e-10
