dataset,min_dphi,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.96, 3.04)",623,0.0005928803002461791,5.8277527248407068e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3.04, 3.12)",1151,0.001101616071537137,1.0766842972742552e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3.12, 3.2)",405,0.00038783848867751658,3.788507008106734e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3.2, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-inf, 0.0)",394,0.0003398970584385097,2.9622307384791213e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.0, 0.08)",2118,0.0018052696250379086,1.5923870000378315e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.08, 0.16)",1797,0.0015390746993944049,1.3510479401901421e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.16, 0.24)",1528,0.0013040947960689664,1.1488042739316029e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.24, 0.32)",1231,0.0010500390781089664,9.2550916930278504e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.32, 0.4)",995,0.00084887555567547679,7.4807604555360285e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.4, 0.48)",789,0.00067719287471845746,5.9319799072810042e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.48, 0.56)",650,0.00055666815023869276,4.8869291946473936e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.56, 0.64)",611,0.00051938352407887578,4.5937131876172543e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.64, 0.72)",544,0.00046822553849779069,4.0899836295515968e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.72, 0.8)",475,0.00040492837433703244,3.5712172108404161e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.8, 0.88)",439,0.00037197917117737234,3.3005567723343177e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.88, 0.96)",367,0.00030781494569964707,2.7592353402106085e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.96, 1.04)",389,0.00033382748370058835,2.9246391419768258e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.04, 1.12)",347,0.0002956757671199739,2.608868121534158e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.12, 1.2)",336,0.00028266949811950326,2.5261664982068055e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.2, 1.28)",339,0.00028006822685711086,2.548721511619334e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.28, 1.36)",293,0.00024538487195968628,2.2028771862192542e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.36, 1.44)",316,0.0002739986521191895,2.3757992795303551e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.44, 1.52)",264,0.00022717608953826129,1.9848450660830963e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.52, 1.6)",246,0.00020636607951018959,1.849514708052169e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.6, 1.68)",177,0.0001534739276394248,1.3307482893409883e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.68, 1.76)",155,0.00013266390305943787,1.165344626352649e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.76, 1.84)",137,0.00011879055091412738,1.0300142683217217e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.84, 1.92)",106,8.8442604464944452e-05,7.9694535692897972e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.92, 2.0)",116,9.3645110609941185e-05,8.7212889687826589e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.0, 2.08)",86,7.4569252319633961e-05,6.4657827703040738e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.08, 2.16)",105,8.7575521320104599e-05,7.894269959951572e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.16, 2.24)",98,8.1505924754310399e-05,7.3679853884733859e-11
