dataset,dijet_pt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.0, 50.0)",385,0.00036656056181527674,3.6014202731138312e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[50.0, 100.0)",894,0.00085305125685408711,8.3627782476725088e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[100.0, 150.0)",1048,0.00099812797270715237,9.8033459128288314e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[150.0, 200.0)",1037,0.00098748900927603245,9.7004482224605226e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[200.0, 250.0)",1032,0.00098458747379481792,9.653676746879114e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[250.0, 300.0)",976,0.00092462240718305111,9.129834110943591e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[300.0, 350.0)",934,0.00088593526743352413,8.7369517176583145e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[350.0, 400.0)",803,0.00075730058597400784,7.5115336173325886e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[400.0, 450.0)",671,0.00063737045275047421,6.2767607778013712e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[450.0, 500.0)",655,0.00062382995383813977,6.1270916118516539e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[500.0, 550.0)",572,0.00053775112610310316,5.3506815644865924e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[550.0, 600.0)",488,0.00046231120359152555,4.5649170554717955e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[600.0, 650.0)",403,0.00037816670374013484,3.7697983623630194e-10
