dataset,met_over_mt,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.0, 0.049999999999999996)",1140,0.0010909771081060171,1.0663945282374243e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.049999999999999996, 0.09999999999999999)",2046,0.0019517657347023487,1.9138974849397528e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.09999999999999999, 0.15)",1949,0.0018521463498473167,1.8231605114493732e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.15, 0.19999999999999998)",1759,0.0016703169094398618,1.6454280160616008e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.19999999999999998, 0.24999999999999997)",1598,0.0015049293870106339,1.4948232651690319e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.24999999999999997, 0.3)",1317,0.0012466927291825414,1.2319663067472675e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.3, 0.35)",995,0.00094493315555155277,9.3075663842867584e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.35, 0.39999999999999997)",618,0.00058804440777748823,5.7809806941477859e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.39999999999999997, 0.44999999999999996)",168,0.00016055158630479127,1.5715287404738376e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.44999999999999996, 0.49999999999999994)",29,2.8048169042449445e-05,2.712757969647317e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.49999999999999994, 0.5499999999999999)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.5499999999999999, 0.6)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.6, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.0, 0.049999999999999996)",3199,0.0027339169755578041,2.4051209912556715e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.049999999999999996, 0.09999999999999999)",3418,0.0029151374474167824,2.5697728389673102e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.09999999999999999, 0.15)",2536,0.0021642425563186407,1.9066541678824933e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.15, 0.19999999999999998)",1976,0.0016838777810335159,1.485626399677642e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.19999999999999998, 0.24999999999999997)",1474,0.0012572723207995296,1.1082050832555979e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.24999999999999997, 0.3)",1169,0.00098934327252209187,8.7889540090202445e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.3, 0.35)",896,0.00076303421519696712,6.7364436251438065e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.35, 0.39999999999999997)",592,0.00050464307423681021,4.4508646768193216e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.39999999999999997, 0.44999999999999996)",181,0.00015173976134974509,1.3608217330762784e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.44999999999999996, 0.49999999999999994)",25,2.1677107724826783e-05,1.8795881517874591e-11
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.49999999999999994, 0.5499999999999999)",2,1.7341686771032983e-06,1.5036704520410282e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.5499999999999999, 0.6)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.6, inf)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-inf, 0.0)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.0, 0.049999999999999996)",3343,0.0003297608345746994,3.5567163797489698e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.049999999999999996, 0.09999999999999999)",3465,0.0003446140035521239,3.6865160230048488e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.09999999999999999, 0.15)",2626,0.00025972403818741441,2.793879017026768e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.15, 0.19999999999999998)",1853,0.00018267326231580228,1.9714613622157096e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.19999999999999998, 0.24999999999999997)",1360,0.00013615399075206369,1.4469442137510224e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.24999999999999997, 0.3)",1070,0.00010603507689666003,1.1384046483264854e-11
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.3, 0.35)",721,7.0861962740309536e-05,7.6709315982581572e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.35, 0.39999999999999997)",429,4.1155635699396953e-05,4.5642578258564548e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.39999999999999997, 0.44999999999999996)",159,1.557519135531038e-05,1.6916480152437408e-12
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.44999999999999996, 0.49999999999999994)",10,1.0314695373381255e-06,1.0639295569764631e-13
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.49999999999999994, 0.5499999999999999)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.5499999999999999, 0.6)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[0.6, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.0, 0.049999999999999996)",3211,0.0010160147212445736,3.2148428363854009e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.049999999999999996, 0.09999999999999999)",5420,0.0017149797640740871,5.4264864823849734e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.09999999999999999, 0.15)",5316,0.0016820724122226238,5.3223619955744539e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.15, 0.19999999999999998)",5110,0.0016168905422091484,5.1161153091783262e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.19999999999999998, 0.24999999999999997)",4497,0.0014229268999770284,4.5023818007194905e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.24999999999999997, 0.3)",3933,0.001244467799551785,3.9377068272727911e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.3, 0.35)",3296,0.0010429101530462503,3.2999444843362369e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.35, 0.39999999999999997)",2103,0.0006654247990809381,2.1055167331862634e-10
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.39999999999999997, 0.44999999999999996)",920,0.00029110358445905149,9.2110097327235962e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.44999999999999996, 0.49999999999999994)",214,6.7713226599153131e-05,2.1425609550429492e-11
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.49999999999999994, 0.5499999999999999)",28,8.8596743808011524e-06,2.8033508674141228e-12
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.5499999999999999, 0.6)",3,9.4925076155050192e-07,3.0035902150865601e-13
SVJ_Kevin_mZprime-3000_mDark-20_rinv-0.5_alpha-peak,"[0.6, inf)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.0, 0.049999999999999996)",7106,0.00226198835298419,7.2003814022281176e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.049999999999999996, 0.09999999999999999)",8719,0.0027754399925470352,8.8348051097142388e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.09999999999999999, 0.15)",6825,0.0021725401747971773,6.9156491644406515e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.15, 0.19999999999999998)",5239,0.001667683245614171,5.3085841278388557e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.19999999999999998, 0.24999999999999997)",4189,0.001333446241915226,4.2446379744376372e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.24999999999999997, 0.3)",3421,0.0010889758123084903,3.4664374148896115e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.3, 0.35)",2657,0.00084577861707657576,2.6922900020487361e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.35, 0.39999999999999997)",1931,0.00061467767227441072,1.9566473441479104e-10
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.39999999999999997, 0.44999999999999996)",856,0.00027248269179835916,8.6736930138275881e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.44999999999999996, 0.49999999999999994)",246,7.8306940849870443e-05,2.4926736022501395e-11
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.49999999999999994, 0.5499999999999999)",24,7.6397018347051926e-06,2.4318767485875803e-12
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.5499999999999999, 0.6)",4,1.2732836012219195e-06,4.0531277336122717e-13
SVJ_Kevin_mZprime-3000_mDark-50_rinv-0.3_alpha-peak,"[0.6, inf)",2,6.3664180061095976e-07,2.0265638668061359e-13
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[-inf, 0.0)",0,0,0
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.0, 0.049999999999999996)",9077,0.00031283384305424988,1.0781647276358886e-11
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.049999999999999996, 0.09999999999999999)",10120,0.00034878027508966625,1.2020520863409434e-11
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.09999999999999999, 0.15)",7656,0.00026385983801446855,9.0937856203621159e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.15, 0.19999999999999998)",5634,0.00019417272415012121,6.6920570647444055e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.19999999999999998, 0.24999999999999997)",4238,0.00014606035256292671,5.0338904052094069e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.24999999999999997, 0.3)",3402,0.00011724806972779334,4.0408904521116451e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.3, 0.35)",2541,8.7574175267945975e-05,3.0181961530734158e-12
SVJ_Kevin_mZprime-4000_mDark-20_rinv-0.3_alpha-peak,"[0.35, 0.39999999999999997)",1715,5.9106536355102435e-05,2.0370745021369707e-12
