dataset,leadFatJet_eta,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, -4.0)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-4.0, -3.8)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.8, -3.6)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.6, -3.4)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.4, -3.2)",1,9.67178266364499e-07,9.3543380506877494e-13
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.2, -3.0)",2,1.934356532728998e-06,1.8708676101375499e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-3.0, -2.8)",8,7.737426130915992e-06,7.4834704405501995e-12
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.8, -2.5999999999999996)",14,1.3540495274355635e-05,1.309607283728198e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.5999999999999996, -2.4)",38,3.6752775486093014e-05,3.5546485893656055e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.4, -2.2)",62,5.8030695072375238e-05,5.7996895480583177e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.2, -2.0)",113,0.00010929114068858325,1.0570402192433548e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-2.0, -1.7999999999999998)",175,0.0001634531217860058,1.637009139354717e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.7999999999999998, -1.5999999999999996)",300,0.00028821913292631507,2.8063013024492989e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.5999999999999996, -1.4)",365,0.00034334827796556056,3.4143332605651722e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.4, -1.1999999999999997)",545,0.00051550602074712515,5.098114153057054e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.1999999999999997, -1.0)",705,0.00067218887852504849,6.594808588111789e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-1.0, -0.7999999999999998)",832,0.00079115183325484395,7.7828093969500856e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.7999999999999998, -0.5999999999999996)",918,0.00086852605454623699,8.5872825517085971e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.5999999999999996, -0.3999999999999999)",1111,0.0010629289317876101,1.0392670057868258e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.3999999999999999, -0.19999999999999973)",1231,0.0011731872800737619,1.1515189912714163e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.19999999999999973, 0.0)",1209,0.0011519093532115221,1.1309394531977546e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.0, 0.20000000000000018)",1202,0.0011490078177303076,1.1243914688208179e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.20000000000000018, 0.40000000000000036)",1171,0.0011151565704494715,1.0953929985291211e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.40000000000000036, 0.6000000000000005)",1103,0.001057125860825181,1.0317834364670375e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.6000000000000005, 0.8000000000000007)",994,0.00094976904802024364,9.2982122001927792e-10
