dataset,njet,n,weight_nominal:sumw,weight_nominal:sumw2
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-inf, -0.5)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[-0.5, 0.5)",846,0.00081242976011708379,7.9137701947118444e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[0.5, 1.5)",3560,0.0034025332424789667,3.3301443824740318e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[1.5, 2.5)",8589,0.0081832949072122574,8.03444066832526e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[2.5, 3.5)",2599,0.0024517970159649849,2.431192358542944e-09
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[3.5, 4.5)",401,0.00038010106072761118,3.7510894390635485e-10
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[4.5, 5.5)",31,2.417945688648615e-05,2.8998447740291589e-11
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[5.5, 6.5)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[6.5, 7.5)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[7.5, 8.5)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[8.5, 9.5)",0,0,0
SVJ_Esh_mZp-3000_mD-20_rinv-0p5_aD-peak,"[9.5, inf)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-inf, -0.5)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[-0.5, 0.5)",394,0.0003398970584385097,2.9622307384791213e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[0.5, 1.5)",2014,0.0017307003727182746,1.5141961018372285e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[1.5, 2.5)",9686,0.0082875918596982956,7.2822761154611726e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[2.5, 3.5)",4593,0.0038888731505721807,3.4531792980629916e-09
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[3.5, 4.5)",1036,0.00087748933583498001,7.7890127681001786e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[4.5, 5.5)",147,0.00012746140419039875,1.1051978082710079e-10
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[5.5, 6.5)",5,4.3354216359148268e-06,3.7591761301025706e-12
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[6.5, 7.5)",1,8.6708433855164913e-07,7.5183522602051411e-13
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[7.5, 8.5)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[8.5, 9.5)",0,0,0
SVJ_Esh_mZp-3000_mD-50_rinv-0p3_aD-peak,"[9.5, inf)",0,0,0
SVJ_Esh_mZp-4000_mD-20_rinv-0p3_aD-peak,"[-inf, -0.5)",0,0,0
