,category,met,bkg yield,$t\bar{t}$ + jets yield,Multiboson yield,W$(\rightarrow \ell\nu)$ + jets yield,Z$(\rightarrow \nu\nu)$ + jets yield,QCD multijet yield,Other yield,signal contamination
0,1.01,"[200.0, 300.0)",3829686.41±228685.2,2743250.13±172077.7,7373.48±5947.9,108974.77±18890.2,45041.32±14872.0,65339.47±39526.8,1137075.21±143876.5,6.75
1,1.01,"[300.0, 400.0)",1005267.96±104263.8,689654.06±84990.6,6146.72±6146.7,43494.32±9284.2,26750.21±10069.5,0.0±0.0,384407.37±59403.4,12.62
2,1.01,"[400.0, inf)",511984.69±111880.6,228211.57±48031.6,26168.78±10155.9,17450.28±4130.3,31444.18±11575.3,93584.92±93584.9,233700.47±35954.4,18.8
3,1.02,"[200.0, 300.0)",27148165.67±1264452.0,17734836.65±429396.9,46944.38±16784.7,2084506.16±79120.3,1432306.43±85274.8,4063050.78±1161333.1,2177967.21±228483.5,1.42
4,1.02,"[300.0, 400.0)",11860510.53±608238.4,7946855.45±292257.4,26401.02±11689.5,1096944.31±70586.4,908594.55±70555.4,1048645.56±499242.6,1122875.65±159364.1,2.39
5,1.02,"[400.0, inf)",6374173.3±286719.6,3527200.5±194501.7,9037.7±6577.2,688900.75±40666.0,912505.95±60270.3,118001.26±59623.9,1463477.68±189343.1,5.13
6,1.03,"[200.0, 300.0)",37677234.75±871980.0,33176352.44±586911.4,1170.12±1170.1,528691.13±51929.3,286324.06±38731.4,1348139.99±593882.4,3106978.89±243895.9,2.0
7,1.03,"[300.0, 400.0)",17215973.49±452285.2,15328150.58±395755.4,0.0±0.0,211207.02±30228.8,167246.13±29917.8,279921.84±143641.3,1736828.27±160742.2,2.86
8,1.03,"[400.0, 600.0)",7739445.3±300154.2,6576065.91±266547.0,0.0±0.0,111365.79±18651.5,147173.23±25825.9,38449.43±27197.8,1273142.76±132508.5,4.99
9,1.03,"[600.0, inf)",1376305.99±135934.6,1032629.04±105837.6,0.0±0.0,24485.08±6682.2,45609.49±13193.5,0.0±0.0,427136.33±84762.1,10.04
10,1.04,"[200.0, 300.0)",65749239.1±1023655.6,52768301.74±739673.8,270094.69±119056.6,1606039.35±152035.0,1318082.63±109551.5,1333242.27±451552.9,9322592.43±498340.7,1.3
11,1.04,"[300.0, 400.0)",16168786.08±511016.9,11964530.03±347225.6,226415.49±166950.0,613821.81±118414.3,469735.74±48900.0,41886.36±27567.4,3229708.05±309589.6,2.28
12,1.04,"[400.0, inf)",6820151.2±329164.2,4289039.66±208157.2,56502.7±32992.8,357544.65±45741.1,342801.03±37625.3,80042.25±50133.4,2115914.14±243007.0,5.82
