,category,met,bkg yield,$t\bar{t}$ + jets yield,QCD multijet yield,W$(\rightarrow \ell\nu)$ + jets yield,Z$(\rightarrow \nu\nu)$ + jets yield,Other yield,signal contamination
0,1.01,"[200.0, 300.0)",4170654.5±249262.1,3249565.46±195410.6,68029.8±53104.0,87273.94±16984.1,36562.48±11862.9,947110.8±144371.0,4.96
1,1.01,"[300.0, 400.0)",1973070.67±156974.5,1594388.82±132689.1,17616.68±17616.7,22128.82±5810.6,6291.27±4471.5,473627.3±82355.8,6.67
2,1.01,"[400.0, inf)",1293098.93±135767.0,929831.42±102248.7,0.0±0.0,52988.15±11394.7,14829.83±7047.0,401037.06±88732.6,7.55
3,1.02,"[200.0, 300.0)",26549908.52±1315594.5,17898503.48±442052.5,4275045.24±1216791.3,1402428.76±88505.9,1084525.85±81231.6,2204808.38±201425.7,1.17
4,1.02,"[300.0, 400.0)",17096485.95±607447.9,12413756.63±373315.1,1002528.4±399487.7,1240557.13±139126.7,955045.3±77546.0,1783153.71±211834.4,1.72
5,1.02,"[400.0, inf)",9954663.13±368479.3,6823276.16±274381.7,645359.59±167269.9,792348.52±51400.7,644474.26±51889.7,1308139.42±166161.2,2.54
6,1.03,"[200.0, 300.0)",37484304.58±784753.3,33613399.62±595235.2,989617.9±444172.9,429406.53±124406.4,213589.72±32098.3,2838659.63±219335.1,1.58
7,1.03,"[300.0, 400.0)",29072468.81±1380178.4,24081311.7±499369.2,2637575.83±1269566.8,273100.6±39141.8,165620.97±35307.7,2474178.52±203305.8,1.89
8,1.03,"[400.0, 600.0)",12920114.75±394219.5,11127051.61±345062.8,94366.81±55220.9,171407.25±26877.9,110482.62±22659.1,1761166.44±179697.9,2.6
9,1.03,"[600.0, inf)",1621040.23±144232.6,1461330.9±129530.5,25710.48±25710.5,21181.32±4656.8,18853.85±7949.2,170744.87±57748.5,4.52
10,1.04,"[200.0, 300.0)",68793488.69±1815109.1,52806814.53±752985.8,4342795.04±1550084.2,1986891.35±241720.0,969695.37±92650.2,9431791.57±508412.6,1.07
11,1.04,"[300.0, 400.0)",17969737.58±533067.9,13249774.07±362671.2,278751.28±184031.9,718819.99±111474.9,387137.56±52673.0,3626450.11±322332.8,1.59
12,1.04,"[400.0, inf)",7356618.12±359710.3,4340610.89±204088.0,137768.01±70617.7,422638.06±93435.9,157817.95±26688.0,2456070.77±271027.4,2.11
13,1.05,"[200.0, 300.0)",40613191.43±818463.4,35255267.77±607533.0,465560.18±416947.5,192270.31±51294.9,101903.7±21352.1,5067751.27±352537.8,1.14
14,1.05,"[300.0, 400.0)",9722597.96±339034.2,8065117.72±278183.4,67445.45±49487.6,55514.82±13713.3,53830.52±19462.9,1656742.39±186221.1,1.78
15,1.05,"[400.0, inf)",3619979.06±237288.4,2313103.12±146935.3,43450.44±43450.4,61117.69±15975.6,44999.71±19305.7,1229752.27±179575.1,1.96
16,1.06,"[200.0, 300.0)",190551531.24±8642626.7,74647388.88±892370.4,64449570.39±8480129.6,22252790.64±1118232.4,16376801.05±454779.1,13678962.12±728061.7,0.45
17,1.06,"[300.0, 400.0)",48589580.13±2851985.9,17457185.51±431470.3,11401413.61±2711285.8,7901640.27±542886.7,6543750.07±230458.8,5627273.82±500101.9,0.7
18,1.06,"[400.0, 600.0)",13377467.57±570692.9,4710675.52±219310.8,1057701.94±381897.5,2985006.59±215732.1,2703571.37±114899.8,2079220.72±269359.6,1.17
