,category,met,bkg yield,$\gamma$ + jets yield,$t\bar{t}$ + jets yield,$t\bar{t}X$ + jets yield,QCD multijet yield,Other yield,signal contamination
35,2.03,"[200.0, inf)",99008016.79±5125402.5,94716679.55±5120218.0,74679.68±23373.2,41439.24±61442.7,3558179.43±127712.5,617038.88±180240.7,0.0
36,2.04,"[200.0, 300.0)",1390436867.91±20182001.9,1341333633.37±20170534.7,108372.93±37151.6,16224.57±37324.2,45829103.54±472966.2,3149533.5±486066.5,0.0
37,2.04,"[300.0, 400.0)",498270084.49±11058374.2,479241527.95±11040651.6,148669.92±38932.6,58458.12±31171.1,15418549.9±254542.0,3403854.2±569538.8,0.0
38,2.04,"[400.0, inf)",65003641.87±3149724.2,62731104.41±3139437.1,36004.52±21020.4,15799.83±10100.3,1569127.99±72167.0,651605.12±242787.3,0.0
39,3.01,"[200.0, 300.0)",39733607649.76±101787399.6,38499390933.09±101738237.3,321937.62±60370.8,281854.55±96239.2,1190399271.32±2414296.9,43213819.93±2040599.7,0.0
40,3.01,"[300.0, 400.0)",19235425208.74±62408387.8,18745644162.78±62371966.9,206739.48±47169.0,187428.68±69331.3,453280686.54±1371488.0,36106191.27±1629909.8,0.0
41,3.01,"[400.0, 600.0)",7226972557.77±28400619.5,7081750194.87±28379313.8,117954.44±36029.8,114214.64±39264.5,125168073.21±632880.0,19822120.61±897975.2,0.0
42,3.01,"[600.0, inf)",1372737539.54±8708831.4,1352575769.62±8702044.0,5575.29±5575.3,-15282.18±24231.8,15379633.77±190584.8,4791843.03±285014.7,0.0
43,3.02,"[200.0, 300.0)",26302065243.02±76568062.1,25460514782.31±76523381.9,644707.85±100327.0,1898959.43±240668.9,804098137.23±1980215.7,34908656.2±1688464.2,0.0
44,3.02,"[300.0, 400.0)",14109034611.65±47723485.6,13740280212.55±47686589.6,582278.68±88888.6,899022.07±163143.5,335965830.39±1177006.9,31315094.53±1449278.4,0.0
45,3.02,"[400.0, 600.0)",5978146496.93±23689325.3,5860821043.55±23668995.9,224182.26±50281.3,217820.29±106517.3,98588414.31±560353.1,18298963.94±796808.5,0.0
46,3.02,"[600.0, inf)",1249208312.04±8125441.4,1231959124.94±8119711.0,20793.72±12572.1,39835.5±41007.8,12815134.65±173611.3,4373423.24±247204.6,0.0
47,3.03,"[200.0, 300.0)",11809200045.31±45823095.2,11456992932.93±45792295.3,819988.8±110819.8,3089274.41±314771.1,331459310.25±1268513.1,16885304.35±1049813.1,0.0
48,3.03,"[300.0, 400.0)",7027200575.05±29992475.3,6851177955.22±29963987.5,856570.82±101147.9,1893239.68±243155.5,156155885.17±800803.5,17128751.87±998752.4,0.0
49,3.03,"[400.0, 600.0)",3266369043.41±16088141.3,3204827505.25±16072276.9,313993.45±61468.7,466602.9±170122.3,50572500.85±400771.1,10194068.46±562927.0,0.0
50,3.03,"[600.0, inf)",734174941.02±6184871.7,723465850.95±6176281.7,62310.1±24403.5,88473.33±67507.2,7470572.26±132430.7,3087985.74±288949.7,0.0
51,3.04,"[200.0, 300.0)",5437612918.29±27460045.2,5259555793.48±27428018.1,1692239.33±170562.3,7913628.64±533964.2,158598729.57±875411.4,9856645.24±823019.2,0.0
52,3.04,"[300.0, 400.0)",3729592740.33±19266464.0,3628678971.72±19243309.7,1808251.75±172275.8,5043870.07±420464.2,85813309.94±591948.6,8250135.18±578617.6,0.0
53,3.04,"[400.0, 600.0)",1918737967.48±11413885.1,1877660279.05±11396461.1,839406.93±123956.8,2688671.29±300770.9,31515712.38±315743.9,6041646.33±438132.3,0.0
54,3.04,"[600.0, inf)",491357624.41±5001358.6,483489489.45±4995567.0,115075.98±34576.2,376930.77±112027.9,5475701.71±113260.0,1903623.51±176994.9,0.0
0,Boosted ttH,,258178197.02±3989042.9,194852670.44±3752148.0,15055784.96±503676.1,36894964.49±1189866.6,7734107.58±179716.2,3669277.83±363451.6,0.01
0,Resolved ttH,,2094400580.56±15710775.1,1922673805.35±15575453.6,19265945.84±600623.7,81026012.0±1782366.6,61120075.63±515081.6,10343368.86±656392.2,0.0
0,Resolved VH,,11900307145.48±56997174.7,11546114728.66±56965705.8,742437.94±90753.3,439181.86±115862.6,331224450.53±1232738.0,21791361.75±1430034.6,0.0
0,Boosted VH,,1953710594.27±23227604.4,1883306265.73±23207811.7,293047.37±57774.1,90482.52±49666.4,62816781.43±541938.0,7204992.82±787134.5,0.0
0,Inclusive ggH,,149621443474.76±168766860.8,145458785001.77±168661518.0,8632006.49±360650.6,25184544.07±932946.0,3862756903.56±4177947.1,266178273.43±4134128.4,0.0
0,Combined,,165828039992.1±180369603.2,161005732471.95±180241713.2,43989222.6±869529.4,143635184.94±2340703.4,4325652318.73±4423368.5,309187274.68±4507609.7,0.0
