,category,met,signal yield,bkg yield,$t\bar{t}$ + jets yield,Multiboson yield,W$(\rightarrow \ell\nu)$ + jets yield,Z$(\rightarrow \nu\nu)$ + jets yield,QCD multijet yield,Other yield,asimov_0Syst,asimov_0.05Syst,asimov_0.1Syst
33,2.02,"[300.0, 400.0)",4937352.51±190509.1,78618969.99±1863229.3,12312307.42±370128.9,6379159.44±665029.2,12663536.43±1188906.1,38917854.07±1095476.9,0.0±0.0,13283465.13±561329.5,551.16,1.23,0.62
34,2.02,"[400.0, inf)",698789.44±65366.7,7975464.65±469808.8,913862.26±105406.3,564966.6±177152.2,1487570.26±299043.6,4053908.0±240745.3,0.0±0.0,1653946.97±187388.5,243.95,1.7,0.85
35,2.03,"[200.0, inf)",17468821.69±371323.5,130531197.81±2520815.0,43617315.18±685085.8,18851044.56±1036454.5,10774687.88±1090700.5,36857830.27±1136392.5,1328982.18±1328982.2,36570159.43±837615.5,1496.66,2.57,1.28
36,2.04,"[200.0, 300.0)",188792886.1±1152172.1,1977313587.86±12112363.1,111928602.33±1170287.6,289738277.03±5052134.2,442671124.22±7469001.1,837701128.68±5786563.6,4235677.07±4235677.1,479831664.63±3732552.9,4180.68,1.85,0.93
37,2.04,"[300.0, 400.0)",58854969.04±584805.7,317152636.74±3970917.1,13386545.37±383060.9,72166863.75±2368117.7,48030581.35±2134842.5,123770856.35±1887543.5,0.0±0.0,118652758.96±1495021.9,3209.79,3.5,1.75
38,2.04,"[400.0, inf)",6757136.78±197987.2,22260534.29±984235.8,822310.39±88290.0,7141688.02±761991.2,2295778.84±356601.8,6785649.23±317821.0,0.0±0.0,11972244.61±437399.4,1367.59,5.55,2.77
39,3.01,"[200.0, 300.0)",157631837.26±2875034.3,21188225320.06±37074576.9,123127546.33±1191833.6,183655435.42±3856141.8,7052613517.07±28069194.7,12537343572.0±20666210.1,32103436.36±8476163.2,1417013650.14±8926505.5,1081.58,0.15,0.07
40,3.01,"[300.0, 400.0)",21427170.67±953561.9,3555722535.32±11808638.8,16127654.69±430500.2,31235477.3±1530979.5,929406524.41±8300797.4,2304574772.55±6977577.6,7722297.86±3346741.6,288082979.18±3005577.8,358.98,0.12,0.06
41,3.01,"[400.0, 600.0)",5691331.76±422968.6,959066122.23±4019208.9,2122933.03±155060.1,10011108.02±896958.4,200101403.96±2771438.0,659361995.09±2376554.4,8947.51±8947.5,93151066.39±1474925.4,183.6,0.12,0.06
42,3.01,"[600.0, inf)",583308.95±107682.4,101722970.7±805988.9,34073.7±29764.9,1333751.81±335035.3,15587373.94±346192.3,73058098.76±500748.3,0.0±0.0,12292981.44±421285.1,57.78,0.11,0.06
