,category,met,bkg yield,$t\bar{t}$ + jets yield,QCD multijet yield,Single Top yield,W$(\rightarrow \ell\nu)$ + jets yield,Other yield,signal contamination
37,2.04,"[300.0, 400.0)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
38,2.04,"[400.0, inf)",0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
39,3.01,"[200.0, 300.0)",19305540860.63±173240837.0,42979052.72±660627.5,11521165973.54±171772922.0,46091575.67±1445478.9,3929461409.14±19327771.0,3781141220.18±11453759.7,0.08
40,3.01,"[300.0, 400.0)",4005876828.21±37110402.1,16959921.14±407271.5,1844804579.31±35933917.4,15704229.24±889308.7,1012325454.84±7725881.7,1122460336.6±5058653.9,0.16
41,3.01,"[400.0, 600.0)",1167375664.47±12571565.7,7787524.82±282499.9,419046348.55±11928732.7,5496066.22±519306.5,324555000.15±2939446.2,413131615.81±2614830.3,0.23
42,3.01,"[600.0, inf)",152453411.13±2209421.2,1145661.38±114730.7,38146042.96±1900614.7,625258.61±137752.8,43171938.16±362845.7,69834455.42±1053460.2,0.31
43,3.02,"[200.0, 300.0)",22853665273.3±133845455.4,147129727.66±1257996.0,15162712872.98±132339865.9,56760053.32±1589240.5,3843862399.18±17048528.0,3663436661.99±10327888.3,0.09
44,3.02,"[300.0, 400.0)",5145884431.32±39203501.4,49464406.34±718539.2,2699989516.4±38222836.8,18214229.82±867684.0,1137081967.76±7059888.5,1249307041.54±5009683.4,0.16
45,3.02,"[400.0, 600.0)",1616690032.45±15219561.8,19699409.05±445278.3,652629352.78±14672403.4,8504681.83±647836.6,417085003.42±2761650.9,522418748.85±2867850.3,0.23
46,3.02,"[600.0, inf)",225559589.75±2433539.0,3148544.56±178006.8,59211535.86±2025133.7,1299796.3±195967.3,61965895.51±394970.0,100666717.48±1266447.7,0.32
47,3.03,"[200.0, 300.0)",15398947097.21±103639551.7,186247102.57±1425087.0,11347991901.2±102921850.2,38983464.78±1216253.2,1978855364.63±10148029.1,1859244131.87±6489024.7,0.08
48,3.03,"[300.0, 400.0)",3579059989.2±32377638.8,60873698.86±796579.8,2159378595.82±31856443.0,14961647.12±742396.3,652414140.36±4423025.2,696912703.52±3595526.7,0.15
49,3.03,"[400.0, 600.0)",1144142225.5±11973468.0,23234190.59±484661.0,532905993.96±11593980.4,7082121.13±515115.3,261759990.31±1811508.6,322109371.15±2296936.7,0.26
50,3.03,"[600.0, inf)",166282560.23±2088917.9,4003277.69±193919.8,51500695.28±1757049.0,1704108.22±270790.9,43603307.26±306787.6,66196182.64±1039313.8,0.43
51,3.04,"[200.0, 300.0)",12078101462.87±77504335.5,295917998.62±1828716.9,9711284008.94±77132669.1,36479864.56±1173833.6,1065319647.62±5723851.0,978442506.51±4486634.4,0.08
52,3.04,"[300.0, 400.0)",2768402247.18±26241015.0,101505585.14±1061492.3,1915617093.77±25974833.5,15373960.4±818874.7,364379506.06±2386449.1,376566479.8±2560486.9,0.18
53,3.04,"[400.0, 600.0)",890432736.32±10426134.1,40496934.3±656713.4,508993543.18±10198400.7,6689610.69±459902.7,154447714.96±1000611.6,182214802.14±1751480.1,0.27
54,3.04,"[600.0, inf)",121851900.86±1756822.5,6771870.23±258686.6,45582282.34±1486735.9,1366380.38±196184.1,27884805.38±220091.2,41334453.84±891985.4,0.88
0,Boosted ttH,,1946190463.72±17168363.1,1022253538.14±3395187.0,677185652.19±16637497.2,111114792.24±1951868.3,40295805.48±624987.5,114385737.16±1495049.2,0.97
0,Resolved ttH,,2595020257.91±32941915.9,629711046.23±2617326.6,1537976205.68±32661815.1,66211838.35±1610475.1,158272695.52±2159123.7,214141863.52±2081182.2,0.43
0,Resolved VH,,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
0,Boosted VH,,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,
0,Inclusive ggH,,90620266310.61±264548808.9,1007364905.67±3306229.9,58670960336.86±261940646.5,275337048.3±3401929.8,15318173544.74±30914877.2,15445417429.34±19956377.8,0.11
0,Combined,,95161477032.24±267144146.1,2659329490.03±5413764.9,60886122194.73±264492916.3,452663678.88±4239875.7,15516742045.75±30996484.6,15773945030.02±20120226.3,0.13
