dataset,met,region,category,n,weight_ttbar_scale_down:sumw,weight_ttbar_scale_muR_down_muF_nom:sumw,weight_ttbar_scale_muR_down_muF_up:sumw,weight_ttbar_scale_muR_nom_muF_down:sumw,weight_ttbar_scale_muR_nom_muF_down_x_muR_down_muF_nom:sumw,weight_ttbar_scale_muR_nom_muF_nom:sumw,weight_ttbar_scale_muR_nom_muF_up:sumw,weight_ttbar_scale_muR_nom_muF_up_x_muR_up_muF_nom:sumw,weight_ttbar_scale_muR_up_muF_down:sumw,weight_ttbar_scale_muR_up_muF_nom:sumw,weight_ttbar_scale_up:sumw
ttbar,"[1000.0, 1100.0)",1,4.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",1,4.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,1.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,1.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,1.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,1.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,1.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,1.06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,1.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,1.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,1.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,2.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,2.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,2.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,2.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,3.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,3.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,3.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,3.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,4.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",2,4.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,1.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,1.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,1.03,1,9.929370937897875e-09,8.075590629774003e-09,6.596010198945606e-09,9.77565857932352e-09,9.793144325882695e-09,8.061171327338283e-09,6.675440327021461e-09,6.692263006690888e-09,9.70492375668516e-09,8.08148615929371e-09,6.763664259601764e-09
ttbar,"[1000.0, 1100.0)",3,1.04,1,1.0981239965112192e-06,9.381923040821768e-07,8.089207287492095e-07,9.311704970539892e-07,1.0902120810867066e-06,8.013275825582813e-07,6.953622699884547e-07,6.081399101209585e-07,8.106505079765814e-07,7.00813539117525e-07,6.111107113735347e-07
ttbar,"[1000.0, 1100.0)",3,1.05,1,4.249295861545135e-07,5.349131630145293e-07,6.330113127338261e-07,5.75772718844143e-07,4.633208316542461e-07,6.647410880049458e-07,7.443172227551411e-07,8.591003689653689e-07,6.933491125885366e-07,7.672526147893466e-07,8.337386259354291e-07
ttbar,"[1000.0, 1100.0)",3,1.06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,1.07,1,2.3257336281236854e-07,2.5344785984670054e-07,2.719114283041973e-07,2.475281844843825e-07,2.3723790017364067e-07,2.644412521926377e-07,2.794865158012093e-07,2.898808130675703e-07,2.60558569453358e-07,2.7427600105401676e-07,2.867256220644016e-07
ttbar,"[1000.0, 1100.0)",3,1.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,1.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,2.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,2.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,2.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,2.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,3.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,3.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,3.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,3.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",3,4.01,1,6.507524953619678e-07,5.011556196274133e-07,3.7421430427616774e-07,9.412377811792576e-07,6.019639481424897e-07,7.836127266392527e-07,6.466863277008357e-07,8.34908456668636e-07,1.1747208209335975e-06,1.01168812818563e-06,8.684586252363945e-07
ttbar,"[1000.0, 1100.0)",3,4.02,1,5.992701482375997e-07,6.991227931820046e-07,7.849839817023389e-07,6.759226513326359e-07,6.245655653559256e-07,7.566106146392933e-07,8.266052825928837e-07,8.808531638606001e-07,7.405275358443255e-07,8.062649540472683e-07,8.640189860878988e-07
ttbar,"[1000.0, 1100.0)",4,1.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,1.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,1.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,1.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,1.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,1.06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,1.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,1.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,1.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,2.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,2.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,2.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,2.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,3.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,3.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,3.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,3.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,4.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",4,4.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,1.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,1.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,1.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,1.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,1.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,1.06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,1.07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,1.08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,1.09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,2.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,2.02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,2.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,2.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttbar,"[1000.0, 1100.0)",5,3.01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
