,category,met,bkg yield,$t\bar{t}$ + jets yield,Drell-Yan yield,EWK V + 2 jets yield,Multiboson yield,Other yield,signal contamination
0,1.01,"[200.0, 300.0)",527879.69±39604.4,75295.72±24028.3,311534.88±29863.3,0.0±0.0,5099.0±3595.2,135950.09±9295.7,0.0
1,1.01,"[300.0, 400.0)",671099.82±66554.5,68225.01±22894.8,390372.66±29557.3,53247.42±53247.4,13181.55±10137.6,146073.18±9676.8,0.0
2,1.01,"[400.0, inf)",1120994.1±120601.0,109627.89±31529.0,661224.84±61255.7,12165.28±12165.3,126279.97±92386.3,211696.12±33392.3,0.0
3,1.02,"[200.0, 300.0)",3971122.37±127791.4,275804.59±51774.2,3427512.83±107607.7,32397.59±23100.4,21561.14±7646.1,214944.1±38460.1,0.03
4,1.02,"[300.0, 400.0)",6354528.43±194333.1,348319.69±58552.7,5449182.64±147062.4,181715.55±62008.3,120068.05±78089.3,255668.2±52600.3,0.01
5,1.02,"[400.0, inf)",9203338.71±204286.5,504757.07±66355.1,8110396.59±119529.7,173392.8±62659.2,252510.68±135022.8,164688.86±29774.6,0.03
6,1.03,"[200.0, 300.0)",1237967.07±75082.5,311241.31±52441.7,741165.29±51876.0,0.0±0.0,309.54±309.5,186844.99±14047.2,0.13
7,1.03,"[300.0, 400.0)",1598952.08±83202.8,240997.24±46672.3,1139558.31±64865.2,0.0±0.0,623.98±439.0,217772.55±23166.9,0.0
8,1.03,"[400.0, 600.0)",1734413.74±70804.5,320763.87±50142.9,1154186.77±45813.1,0.0±0.0,9681.36±4867.4,250217.52±19406.8,0.03
9,1.03,"[600.0, inf)",556780.82±43850.4,136823.1±34304.8,343272.35±23925.1,0.0±0.0,1228.18±1228.2,75836.28±13124.9,0.07
10,1.04,"[200.0, 300.0)",4623317.81±201433.6,604283.79±75592.1,3381951.68±155077.3,183046.68±83606.1,79124.46±58727.5,375648.76±19339.4,0.02
11,1.04,"[300.0, 400.0)",1680828.46±114425.6,209894.89±44223.8,1093996.47±58758.4,81419.98±40972.7,71565.53±64373.0,223951.59±43154.3,0.0
12,1.04,"[400.0, inf)",2361041.38±123197.1,151328.29±34624.3,1778041.72±54449.1,101546.73±49671.1,217009.31±90790.5,113115.32±17431.7,0.0
13,1.05,"[200.0, 300.0)",1336016.73±97038.6,376324.87±61974.9,681487.68±70712.1,0.0±0.0,2594.48±2645.6,275609.7±23841.3,0.0
14,1.05,"[300.0, 400.0)",652256.9±71694.0,204377.06±38828.3,275445.97±56692.6,15500.9±15500.9,3100.3±2244.4,153832.68±13154.0,0.0
